Charge_type,Charge_size,Standoff_distance,Impulse
TNT,0.5,1.5,58.16861725
TNT,0.5,2.5,38.7988739
TNT,0.5,3.5,28.4739151
TNT,0.5,4.5,22.34345245
TNT,0.5,5.5,18.32634163
TNT,0.5,6.5,15.4836874
TNT,0.5,7.5,13.37800884
TNT,0.5,8.5,11.72747326
TNT,0.5,9.5,10.40322208
TNT,0.5,10.5,9.329064369
TNT,0.5,11.5,8.389559746
TNT,0.5,12.5,7.574813843
TNT,0.5,13.5,6.89855051
TNT,0.5,14.5,6.334801674
TNT,0.5,15.5,5.862799645
TNT,0.5,16.5,5.4883008
TNT,0.5,17.5,5.193695545
TNT,0.5,18.5,4.949690342
TNT,0.5,19.5,4.75182581
TNT,1.5,1.5,108.0906754
TNT,1.5,2.5,75.71366119
TNT,1.5,3.5,57.5359993
TNT,1.5,4.5,45.81913757
TNT,1.5,5.5,37.86933518
TNT,1.5,6.5,32.17350006
TNT,1.5,7.5,27.91207314
TNT,1.5,8.5,24.59646034
TNT,1.5,9.5,21.93505096
TNT,1.5,10.5,19.77195168
TNT,1.5,11.5,17.94391823
TNT,1.5,12.5,16.35676575
TNT,1.5,13.5,15.01211548
TNT,1.5,14.5,13.87530613
TNT,1.5,15.5,12.90446091
TNT,1.5,16.5,12.0911417
TNT,1.5,17.5,11.41413593
TNT,1.5,18.5,10.84115315
TNT,1.5,19.5,10.34745026
TNT,3.5,1.5,181.821167
TNT,3.5,2.5,122.2776489
TNT,3.5,3.5,96.3793869
TNT,3.5,4.5,78.38313294
TNT,3.5,5.5,65.52900696
TNT,3.5,6.5,56.05525208
TNT,3.5,7.5,48.84971619
TNT,3.5,8.5,43.21977615
TNT,3.5,9.5,38.66874313
TNT,3.5,10.5,34.95848846
TNT,3.5,11.5,31.84029198
TNT,3.5,12.5,29.15994835
TNT,3.5,13.5,26.86831093
TNT,3.5,14.5,24.90844917
TNT,3.5,15.5,23.22809982
TNT,3.5,16.5,21.78657532
TNT,3.5,17.5,20.55650711
TNT,3.5,18.5,19.49474526
TNT,3.5,19.5,18.55752182
TNT,5.5,1.5,250.9036713
TNT,5.5,2.5,157.45607
TNT,5.5,3.5,125.2155914
TNT,5.5,4.5,103.3935318
TNT,5.5,5.5,87.18487549
TNT,5.5,6.5,74.98065949
TNT,5.5,7.5,65.56215668
TNT,5.5,8.5,58.15036392
TNT,5.5,9.5,52.13635635
TNT,5.5,10.5,47.22116852
TNT,5.5,11.5,43.08597565
TNT,5.5,12.5,39.54598999
TNT,5.5,13.5,36.50132752
TNT,5.5,14.5,33.88336182
TNT,5.5,15.5,31.62902832
TNT,5.5,16.5,29.67663384
TNT,5.5,17.5,28.00330544
TNT,5.5,18.5,26.54930878
TNT,5.5,19.5,25.24773407
TNT,7.5,1.5,296.1904602
TNT,7.5,2.5,187.809372
TNT,7.5,3.5,148.771698
TNT,7.5,4.5,124.1338654
TNT,7.5,5.5,105.4545517
TNT,7.5,6.5,91.10155487
TNT,7.5,7.5,79.90128326
TNT,7.5,8.5,71.01378632
TNT,7.5,9.5,63.77408981
TNT,7.5,10.5,57.81669617
TNT,7.5,11.5,52.8106842
TNT,7.5,12.5,48.53935242
TNT,7.5,13.5,44.86100769
TNT,7.5,14.5,41.67661667
TNT,7.5,15.5,38.92535019
TNT,7.5,16.5,36.54605484
TNT,7.5,17.5,34.48405457
TNT,7.5,18.5,32.68707275
TNT,7.5,19.5,31.07829857
TNT,9.5,1.5,325.6132507
TNT,9.5,2.5,216.4796906
TNT,9.5,3.5,170.0100403
TNT,9.5,4.5,142.8351593
TNT,9.5,5.5,122.1114883
TNT,9.5,6.5,105.9362335
TNT,9.5,7.5,93.15917206
TNT,9.5,8.5,82.95308685
TNT,9.5,9.5,74.60019684
TNT,9.5,10.5,67.70388031
TNT,9.5,11.5,61.89972687
TNT,9.5,12.5,56.93693543
TNT,9.5,13.5,52.67577362
TNT,9.5,14.5,48.96397781
TNT,9.5,15.5,45.75470734
TNT,9.5,16.5,42.96084213
TNT,9.5,17.5,40.54004288
TNT,9.5,18.5,38.4229393
TNT,9.5,19.5,36.52275848
TNT,11.5,1.5,348.4585266
TNT,11.5,2.5,242.9627075
TNT,11.5,3.5,188.9380188
TNT,11.5,4.5,159.2954865
TNT,11.5,5.5,136.912384
TNT,11.5,6.5,119.212883
TNT,11.5,7.5,105.0912476
TNT,11.5,8.5,93.74105835
TNT,11.5,9.5,84.42010498
TNT,11.5,10.5,76.6945343
TNT,11.5,11.5,70.18579865
TNT,11.5,12.5,64.59931183
TNT,11.5,13.5,59.78032684
TNT,11.5,14.5,55.60280991
TNT,11.5,15.5,51.97722626
TNT,11.5,16.5,48.82074738
TNT,11.5,17.5,46.06208038
TNT,11.5,18.5,43.66962433
TNT,11.5,19.5,41.51554489
TNT,13.5,1.5,363.508728
TNT,13.5,2.5,268.6493835
TNT,13.5,3.5,206.820694
TNT,13.5,4.5,174.5136414
TNT,13.5,5.5,150.6713715
TNT,13.5,6.5,131.6387177
TNT,13.5,7.5,116.3135071
TNT,13.5,8.5,103.9202805
TNT,13.5,9.5,93.67984009
TNT,13.5,10.5,85.17409515
TNT,13.5,11.5,77.9934845
TNT,13.5,12.5,71.84101105
TNT,13.5,13.5,66.51959229
TNT,13.5,14.5,61.90955353
TNT,13.5,15.5,57.89332581
TNT,13.5,16.5,54.39076614
TNT,13.5,17.5,51.32843781
TNT,13.5,18.5,48.64638519
TNT,13.5,19.5,46.23775482
TNT,15.5,1.5,367.3413086
TNT,15.5,2.5,293.2186585
TNT,15.5,3.5,223.4779663
TNT,15.5,4.5,188.4010315
TNT,15.5,5.5,163.2601166
TNT,15.5,6.5,143.0710602
TNT,15.5,7.5,126.6934433
TNT,15.5,8.5,113.35215
TNT,15.5,9.5,102.2987671
TNT,15.5,10.5,93.09326935
TNT,15.5,11.5,85.29742432
TNT,15.5,12.5,78.60852814
TNT,15.5,13.5,72.83209992
TNT,15.5,14.5,67.8119278
TNT,15.5,15.5,63.43567658
TNT,15.5,16.5,59.61946869
TNT,15.5,17.5,56.26937103
TNT,15.5,18.5,53.33876801
TNT,15.5,19.5,50.69649124
TNT,17.5,1.5,372.329834
TNT,17.5,2.5,317.8024902
TNT,17.5,3.5,239.6148987
TNT,17.5,4.5,201.6285248
TNT,17.5,5.5,175.2539825
TNT,17.5,6.5,154.0097961
TNT,17.5,7.5,136.6429443
TNT,17.5,8.5,122.449997
TNT,17.5,9.5,110.6192017
TNT,17.5,10.5,100.7311249
TNT,17.5,11.5,92.37149811
TNT,17.5,12.5,85.1795578
TNT,17.5,13.5,78.95920563
TNT,17.5,14.5,73.54219818
TNT,17.5,15.5,68.81278229
TNT,17.5,16.5,64.68143463
TNT,17.5,17.5,61.04719925
TNT,17.5,18.5,57.86148834
TNT,17.5,19.5,54.98855591
TNT,19.5,1.5,377.3813782
TNT,19.5,2.5,342.1604919
TNT,19.5,3.5,254.986908
TNT,19.5,4.5,214.0670471
TNT,19.5,5.5,186.473587
TNT,19.5,6.5,164.2876587
TNT,19.5,7.5,146.0605469
TNT,19.5,8.5,131.0487824
TNT,19.5,9.5,118.5155335
TNT,19.5,10.5,108.0017777
TNT,19.5,11.5,99.10001373
TNT,19.5,12.5,91.43374634
TNT,19.5,13.5,84.79151154
TNT,19.5,14.5,79.01032257
TNT,19.5,15.5,73.94945526
TNT,19.5,16.5,69.52774048
TNT,19.5,17.5,65.63251495
TNT,19.5,18.5,62.2060051
TNT,19.5,19.5,59.12421799
TNT,21.5,1.5,382.460907
TNT,21.5,2.5,366.9623718
TNT,21.5,3.5,270.0263367
TNT,21.5,4.5,226.0735016
TNT,21.5,5.5,197.239563
TNT,21.5,6.5,174.1801148
TNT,21.5,7.5,155.1296387
TNT,21.5,8.5,139.3633575
TNT,21.5,9.5,126.1496506
TNT,21.5,10.5,115.0437164
TNT,21.5,11.5,105.6058121
TNT,21.5,12.5,97.47207642
TNT,21.5,13.5,90.42514038
TNT,21.5,14.5,84.27958679
TNT,21.5,15.5,78.90569305
TNT,21.5,16.5,74.19567871
TNT,21.5,17.5,70.04779053
TNT,21.5,18.5,66.40840912
TNT,21.5,19.5,63.11341858
TNT,23.5,1.5,387.32901
TNT,23.5,2.5,392.177002
TNT,23.5,3.5,284.6748047
TNT,23.5,4.5,237.6204224
TNT,23.5,5.5,207.5234375
TNT,23.5,6.5,183.6482391
TNT,23.5,7.5,163.8356934
TNT,23.5,8.5,147.3657379
TNT,23.5,9.5,133.534317
TNT,23.5,10.5,121.8584824
TNT,23.5,11.5,111.9293366
TNT,23.5,12.5,103.3579559
TNT,23.5,13.5,95.92727661
TNT,23.5,14.5,89.43662262
TNT,23.5,15.5,83.75437927
TNT,23.5,16.5,78.76887512
TNT,23.5,17.5,74.36778259
TNT,23.5,18.5,70.49336243
TNT,23.5,19.5,67.00473023
TNT,24.5,1.5,389.5797119
TNT,24.5,2.5,404.9414673
TNT,24.5,3.5,291.8334045
TNT,24.5,4.5,243.2394409
TNT,24.5,5.5,212.5040588
TNT,24.5,6.5,188.2335968
TNT,24.5,7.5,168.055603
TNT,24.5,8.5,151.2660217
TNT,24.5,9.5,137.1266327
TNT,24.5,10.5,125.1743317
TNT,24.5,11.5,114.9999924
TNT,24.5,12.5,106.2160034
TNT,24.5,13.5,98.58655548
TNT,24.5,14.5,91.93086243
TNT,24.5,15.5,86.08807373
TNT,24.5,16.5,80.97206116
TNT,24.5,17.5,76.44862366
TNT,24.5,18.5,72.4679718
TNT,24.5,19.5,68.88536835
CompB,1,1,125.9922028
CompB,1,2,74.2642746
CompB,1,3,54.08562088
CompB,1,4,41.79781342
CompB,1,5,33.85757828
CompB,1,6,28.38750839
CompB,1,7,24.41338348
CompB,1,8,21.40321732
CompB,1,9,19.04778862
CompB,1,10,17.15662956
CompB,1,11,15.60498142
CompB,1,12,14.30951119
CompB,1,13,13.2117424
CompB,1,14,12.26983261
CompB,1,15,11.45297718
CompB,1,16,10.73802567
CompB,1,17,10.10691166
CompB,1,18,9.545719147
CompB,1,19,9.043460846
CompB,1,20,8.591295242
CompB,2,1,198.1839294
CompB,2,2,107.9820862
CompB,2,3,81.23577881
CompB,2,4,63.9834137
CompB,2,5,52.29162598
CompB,2,6,44.0445137
CompB,2,7,37.97640228
CompB,2,8,33.34675217
CompB,2,9,29.70825577
CompB,2,10,26.77713966
CompB,2,11,24.36730576
CompB,2,12,22.35241699
CompB,2,13,20.64325714
CompB,2,14,19.17557716
CompB,2,15,17.90198135
CompB,2,16,16.78638268
CompB,2,17,15.80112839
CompB,2,18,14.9248867
CompB,2,19,14.14041233
CompB,2,20,13.43404865
CompB,4,1,251.3533173
CompB,4,2,160.6931915
CompB,4,3,121.0468597
CompB,4,4,97.88616943
CompB,4,5,81.17034912
CompB,4,6,68.90959168
CompB,4,7,59.68781281
CompB,4,8,52.56191635
CompB,4,9,46.91236115
CompB,4,10,42.33520889
CompB,4,11,38.56324387
CompB,4,12,35.39497757
CompB,4,13,32.70532227
CompB,4,14,30.39159966
CompB,4,15,28.38140106
CompB,4,16,26.6197567
CompB,4,17,25.06028557
CompB,4,18,23.67520142
CompB,4,19,22.43380928
CompB,4,20,21.31441307
CompB,6,1,263.7607727
CompB,6,2,205.9796906
CompB,6,3,151.8108063
CompB,6,4,124.4616776
CompB,6,5,104.4020538
CompB,6,6,89.22251129
CompB,6,7,77.59401703
CompB,6,8,68.49946594
CompB,6,9,61.24225235
CompB,6,10,55.33279038
CompB,6,11,50.43891907
CompB,6,12,46.32591248
CompB,6,13,42.82387543
CompB,6,14,39.80807877
CompB,6,15,37.18467712
CompB,6,16,34.88277435
CompB,6,17,32.84694672
CompB,6,18,31.03428078
CompB,6,19,29.41007042
CompB,6,20,27.94651985
CompB,8,1,275.3432007
CompB,8,2,248.0376892
CompB,8,3,178.3538055
CompB,8,4,146.8621826
CompB,8,5,124.248024
CompB,8,6,106.7865677
CompB,8,7,93.1443634
CompB,8,8,82.37486267
CompB,8,9,73.67900085
CompB,8,10,66.53826904
CompB,8,11,60.59784317
CompB,8,12,55.56188202
CompB,8,13,51.2190361
CompB,8,14,47.49065781
CompB,8,15,44.26527786
CompB,8,16,41.45333862
CompB,8,17,39.0155983
CompB,8,18,36.900177
CompB,8,19,35.03172684
CompB,8,20,33.36697006
CompB,10,1,285.0249939
CompB,10,2,289.6603088
CompB,10,3,202.7546387
CompB,10,4,166.6249542
CompB,10,5,141.9887085
CompB,10,6,122.7049866
CompB,10,7,107.449791
CompB,10,8,95.28504181
CompB,10,9,85.4426651
CompB,10,10,77.35694122
CompB,10,11,70.62175751
CompB,10,12,64.93360138
CompB,10,13,60.07403183
CompB,10,14,55.87828064
CompB,10,15,52.22143555
CompB,10,16,49.00785065
CompB,10,17,46.16233063
CompB,10,18,43.62639618
CompB,10,19,41.35166931
CompB,10,20,39.30051804
CompB,12,1,292.3820801
CompB,12,2,331.0111694
CompB,12,3,225.0201111
CompB,12,4,184.1234894
CompB,12,5,157.6703339
CompB,12,6,136.8623047
CompB,12,7,120.2114563
CompB,12,8,106.8127365
CompB,12,9,95.90666962
CompB,12,10,86.91384888
CompB,12,11,79.39920807
CompB,12,12,73.04071808
CompB,12,13,67.59952545
CompB,12,14,62.89706421
CompB,12,15,58.79417801
CompB,12,16,55.18619919
CompB,12,17,51.98983765
CompB,12,18,49.1389122
CompB,12,19,46.58153534
CompB,12,20,44.2744751
CompB,14,1,298.5975952
CompB,14,2,371.2235107
CompB,14,3,246.7127228
CompB,14,4,202.7705307
CompB,14,5,172.4726105
CompB,14,6,150.3039703
CompB,14,7,132.3882599
CompB,14,8,117.8681946
CompB,14,9,105.9737167
CompB,14,10,96.12853241
CompB,14,11,87.87282562
CompB,14,12,80.87584686
CompB,14,13,74.87913513
CompB,14,14,69.68940735
CompB,14,15,65.15898132
CompB,14,16,61.17115021
CompB,14,17,57.63580322
CompB,14,18,54.48280716
CompB,14,19,51.65219879
CompB,14,20,49.09769821
CompB,16,1,301.1164551
CompB,16,2,385.2401428
CompB,16,3,257.0531921
CompB,16,4,208.5626373
CompB,16,5,179.3477783
CompB,16,6,156.570755
CompB,16,7,138.1026001
CompB,16,8,123.0580063
CompB,16,9,110.7088776
CompB,16,10,100.4663849
CompB,16,11,91.86878204
CompB,16,12,84.57466888
CompB,16,13,78.31682587
CompB,16,14,72.89942169
CompB,16,15,68.16732788
CompB,16,16,64.00108337
CompB,16,17,60.30700302
CompB,16,18,57.009758
CompB,16,19,54.05098724
CompB,16,20,51.38020325
CompB,18,1,307.6209412
CompB,18,2,417.9520874
CompB,18,3,287.3762817
CompB,18,4,231.0759735
CompB,18,5,198.9184418
CompB,18,6,174.4627075
CompB,18,7,154.4693756
CompB,18,8,137.996048
CompB,18,9,124.3728943
CompB,18,10,113.0107269
CompB,18,11,103.4380798
CompB,18,12,95.29047394
CompB,18,13,88.28744507
CompB,18,14,82.21312714
CompB,18,15,76.9013443
CompB,18,16,72.22026825
CompB,18,17,68.06533814
CompB,18,18,64.35505676
CompB,18,19,61.0231781
CompB,18,20,58.01522064
CompB,20,1,309.738678
CompB,20,2,426.8639526
CompB,20,3,296.9827576
CompB,20,4,238.1178131
CompB,20,5,204.9325256
CompB,20,6,179.9705811
CompB,20,7,159.5212555
CompB,20,8,142.6305389
CompB,20,9,128.6208191
CompB,20,10,116.9176025
CompB,20,11,107.0388489
CompB,20,12,98.63465118
CompB,20,13,91.40275574
CompB,20,14,85.12489319
CompB,20,15,79.63298798
CompB,20,16,74.79151154
CompB,20,17,70.49293518
CompB,20,18,66.65491486
CompB,20,19,63.20663071
CompB,20,20,60.09296417
CompB,22,1,315.2379761
CompB,22,2,443.5685425
CompB,22,3,316.3699951
CompB,22,4,252.1921387
CompB,22,5,216.8226013
CompB,22,6,190.8624115
CompB,22,7,169.5392456
CompB,22,8,151.8259888
CompB,22,9,137.0802002
CompB,22,10,124.7084122
CompB,22,11,114.2470093
CompB,22,12,105.3181229
CompB,22,13,97.62823486
CompB,22,14,90.94761658
CompB,22,15,85.09746552
CompB,22,16,79.93624878
CompB,22,17,75.35319519
CompB,22,18,71.25682068
CompB,22,19,67.57723999
CompB,22,20,64.25260162
CompB,24,1,323.9733887
CompB,24,2,465.2870789
CompB,24,3,343.7263184
CompB,24,4,271.69104
CompB,24,5,233.0588226
CompB,24,6,205.6884155
CompB,24,7,183.2259522
CompB,24,8,164.4582825
CompB,24,9,148.70224
CompB,24,10,135.4382935
CompB,24,11,124.1818008
CompB,24,12,114.5479965
CompB,24,13,106.2334595
CompB,24,14,99.00054169
CompB,24,15,92.65909576
CompB,24,16,87.05908203
CompB,24,17,82.08316803
CompB,24,18,77.63418579
CompB,24,19,73.63290405
CompB,24,20,70.01832581
CompB,25,1,327.1172485
CompB,25,2,472.4060974
CompB,25,3,353.4296875
CompB,25,4,278.4960632
CompB,25,5,238.66362
CompB,25,6,210.7849426
CompB,25,7,187.9413605
CompB,25,8,168.8202972
CompB,25,9,152.7299805
CompB,25,10,139.1578522
CompB,25,11,127.6299362
CompB,25,12,117.7492447
CompB,25,13,109.2248612
CompB,25,14,101.8021469
CompB,25,15,95.29084015
CompB,25,16,89.53973389
CompB,25,17,84.42693329
CompB,25,18,79.85533142
CompB,25,19,75.74371338
CompB,25,20,72.02826691
